5.8119362675e+01	5.1983629098e+01	7.2882618405e+01	9.2376500509e+01	6.8505618153e+01	5.9750693289e+01	5.7734441178e+01	6.1598414355e+01	7.8081566246e+01	7.9617272279e+01	7.6706835024e+01	7.7517359911e+01	7.6474831539e+01	5.9287521621e+01	6.0834716723e+01	3.1958055509e+01	7.5135922186e+01	7.3940340805e+01	7.5451152398e+01	5.8247367791e+01	7.3797315524e+01	7.3836592011e+01	6.8799191125e+01	6.9145984618e+01	6.5635433362e+01	7.5727409342e+01	6.3791577526e+01	6.9949228438e+01	6.7338374461e+01	8.8356868721e+01
5.8119362675e+01	5.1983629098e+01	5.5193453452e+01	8.5326901736e+01	5.8450168849e+01	5.0433405193e+01	5.5874812987e+01	5.5466917886e+01	7.8081566246e+01	6.7370619708e+01	7.2282795100e+01	6.2212875698e+01	7.6038877793e+01	5.6486656307e+01	5.2572657836e+01	3.1958055509e+01	5.9265601760e+01	5.0597932415e+01	6.4205071291e+01	5.8247367791e+01	7.0885350126e+01	7.3136595577e+01	6.8799191125e+01	6.0117215648e+01	5.4286440193e+01	7.5727409342e+01	6.2979157198e+01	6.8750934778e+01	6.5013113942e+01	8.7050688896e+01
4.3866080921e+01	5.1983629098e+01	5.2312613374e+01	7.5159919397e+01	4.9342215111e+01	5.0433405193e+01	5.0020947654e+01	5.5466917886e+01	6.9735004882e+01	6.4221221482e+01	6.3012633551e+01	4.4061928263e+01	5.2848018717e+01	5.6486656307e+01	4.3245077465e+01	3.1958055509e+01	4.4056347737e+01	5.0597932415e+01	5.8143218454e+01	5.3241074527e+01	6.4983453605e+01	5.9373095354e+01	6.4728121143e+01	4.4266516910e+01	4.7499840044e+01	6.6550505157e+01	5.5473820238e+01	5.6984842460e+01	5.8811312069e+01	8.6741070029e+01
3.8854377410e+01	5.1983629098e+01	4.1694486382e+01	6.3147896398e+01	4.5790956024e+01	4.5761336497e+01	3.8869929109e+01	5.1693274870e+01	6.1878178288e+01	5.8347888122e+01	4.6293170246e+01	3.9709616364e+01	5.0055231030e+01	5.4924780210e+01	3.1672541918e+01	2.1993208567e+01	3.7528127554e+01	4.8165096153e+01	5.4768543365e+01	4.1802628425e+01	4.2843057696e+01	4.4091144882e+01	5.0328139479e+01	4.2603688606e+01	3.8169536614e+01	6.6550505157e+01	3.7600702722e+01	5.3470332368e+01	5.2041783580e+01	6.1430549975e+01
2.9541385101e+01	4.5879937619e+01	2.7378519944e+01	4.9439398437e+01	2.3346446472e+01	3.4040345050e+01	3.0417164613e+01	3.9870257810e+01	3.8449268061e+01	4.0745018388e+01	4.2318686712e+01	2.3100686914e+01	3.4077760924e+01	4.0902476774e+01	2.7825202402e+01	2.1993208567e+01	3.4745776021e+01	3.9663138389e+01	4.3370456739e+01	4.0609112199e+01	2.1882169026e+01	3.0205108119e+01	4.7132652356e+01	3.4347021720e+01	2.3073994060e+01	6.6550505157e+01	3.0184983050e+01	4.6310537059e+01	4.2186149964e+01	5.7321895898e+01
2.2684049101e+01	3.8185527667e+01	2.7378519944e+01	3.9312415396e+01	2.3346446472e+01	2.2713434335e+01	1.8167989082e+01	2.2647442762e+01	2.8318658975e+01	3.8726444470e+01	2.7321766419e+01	1.9059774556e+01	3.1795704861e+01	2.7919874778e+01	2.0961149717e+01	2.1993208567e+01	2.5281773643e+01	3.2338428695e+01	3.0846658670e+01	2.8680227008e+01	1.9350098973e+01	2.3706277189e+01	3.8808023835e+01	2.5425810858e+01	2.0941615420e+01	6.0430747718e+01	2.4509506496e+01	3.8577663751e+01	2.8577936201e+01	4.3269886308e+01
1.2562079267e+01	2.8414694915e+01	2.4478262182e+01	2.1888792206e+01	1.4692664633e+01	1.7311456081e+01	1.8167989082e+01	2.2647442762e+01	2.5028435593e+01	2.9942346794e+01	2.4788075596e+01	1.5649471114e+01	2.3697913005e+01	2.7156964309e+01	1.8783112485e+01	1.6798825175e+01	2.0163618311e+01	1.8911801415e+01	2.5399664680e+01	2.8680227008e+01	1.2387503825e+01	1.5644372283e+01	1.9479237951e+01	1.7936371279e+01	1.6459544000e+01	4.6721123727e+01	1.9816514155e+01	2.8455981797e+01	2.0386983057e+01	3.1692378406e+01
1.0480245103e+01	1.7395078460e+01	1.4077078997e+01	1.3154914884e+01	1.2356602352e+01	1.3192385859e+01	1.6116572346e+01	1.7657723489e+01	1.7862281527e+01	2.2272138349e+01	1.4706408716e+01	1.1705166558e+01	1.5064434382e+01	2.4801032461e+01	1.7238873417e+01	1.0820354769e+01	1.2360781947e+01	1.3395507550e+01	1.7754536718e+01	2.1143941398e+01	8.2314576364e+00	1.5644372283e+01	1.5833546057e+01	8.7735031095e+00	1.1062985754e+01	3.2951853416e+01	1.4924726733e+01	1.3610572004e+01	1.5495024794e+01	1.5495267555e+01
1.0446290524e+01	1.0363571145e+01	7.1037223142e+00	1.0535886762e+01	1.2356602352e+01	5.8400660253e+00	1.5247968245e+01	1.0307668956e+01	1.1528154904e+01	1.5607717499e+01	1.4706408716e+01	9.9359833570e+00	1.0446897170e+01	2.3623441254e+01	1.4161764064e+01	9.2003560734e+00	1.1767851803e+01	1.3395507550e+01	1.1826889531e+01	2.0822361201e+01	7.5835466430e+00	1.0089099624e+01	1.2478774129e+01	7.3512794884e+00	9.2756912185e+00	2.4985147869e+01	1.2880599681e+01	8.5759925331e+00	1.5495024794e+01	1.2915980056e+01
5.5239469578e+00	7.5462410265e+00	4.1034226074e+00	7.7904778720e+00	8.1117607156e+00	5.8400660253e+00	9.7583111713e+00	5.5570178829e+00	7.8001094844e+00	1.1754465323e+01	1.1294575095e+01	8.4757414443e+00	6.3912014398e+00	1.9289375806e+01	9.2574510449e+00	9.2003560734e+00	9.3596241984e+00	1.2826786167e+01	6.2243538711e+00	1.4487106514e+01	7.1689010031e+00	9.9805588829e+00	8.8959768135e+00	4.4872629974e+00	6.7449762783e+00	1.9473938921e+01	1.1013583533e+01	7.3419955537e+00	7.7318542042e+00	1.2915980056e+01
